name,phone,birth,department,salary
Mohamed,6651751,1985-03-12,4,8253792227092381377
Abdelkader,5757238,1961-12-15,10,1410837197344481058
Ahmed,1701708,1997-07-15,5,6657926231069580689
Mohammed,2977311,1976-10-16,10,986103918282795371
Ali,4117493,1995-04-28,9,7968028802236880882
Rachid,2118096,1966-09-20,2,7496764539343289584
Said,1388882,1963-07-30,9,1975409620272801472
Ibrahim,2926151,1962-01-28,10,322724611382628634
Omar,5949890,1959-04-08,3,6743090776587002073
Djamel,7519153,1980-09-03,9,6557260855555825540
Mohamed,9217093,1998-01-19,7,6454657088058500702
Youssef,1366986,1982-07-16,11,8551240349947548582
Ahmed,5128192,2006-06-10,2,7809968370933268925
Mahmoud,1383899,2005-10-24,8,6453059479619460709
Mustafa,6232974,1961-10-23,11,7493633305471164839
Yassin,9949624,1976-12-01,5,932352148638194117
Taha,5219143,1976-01-09,6,8171597872734600224
Khaled,3299107,1973-10-19,3,7225573727619478563
Hamza,5924578,1977-09-15,5,8285703731161716480
Bilal,9589938,1961-08-04,2,6470420129196009446
Ibrahim,9200522,1980-11-15,9,2570357516075830100
Hassan,1301089,1985-10-16,2,823715819418054281
Hussein,5170785,1975-10-21,10,1012472287953216037
Karim,1614477,1955-09-06,8,3404570029964776508
Tareq,5043405,1977-05-28,5,6608376878363935715
Abdel-Rahman,1984358,1986-09-10,4,1213472024005240988
Ali,1998424,1987-07-31,4,2778711926814162983
Omar,8489199,1963-07-02,11,1525235836878800602
Halim,4078546,1999-05-27,8,1900018377091112250
Murad,3533213,1985-05-31,6,2768362862909556220
Selim,4368112,1996-10-05,6,3219645677804188382
Abdallah,2278714,1984-07-27,4,7736517544391347707
Peter,1657059,1981-01-18,7,503907163992617477
Pierre,4343323,1986-01-01,3,6737020153506617793
George,3014517,1973-07-02,6,3712683767793445318
John,2455315,1974-06-28,2,882725475636202449
Mina,8469663,1999-05-30,5,8859488959692887153
Beshoi,8453768,1978-02-24,2,2320537633823896462
Kirollos,5699824,1982-07-18,6,76850912951424845
Mark,8173083,1984-03-08,1,3667370844323142032
Fadi,5330390,1992-11-23,10,8931504128475594203
Habib,4582552,1961-03-10,11,3310506366726726980
Manuel,7550131,2006-07-21,5,484255987385266998
Juan,6849316,1970-05-07,7,1119183639373854319
Antonio,6497452,1986-04-28,8,2305034352272977377
José,7562474,1966-10-05,11,3757142196056173047
Mohammed,1857316,1976-06-15,11,1411867273198215461
Ali,1524103,1960-08-03,6,2729393334942179713
Mohamed,6196983,1963-04-20,4,6359340084051707542
Solomon,5256335,1971-11-08,2,1770621032837368710
Abdela,7563315,1983-06-15,7,4696577051069443926
Daniel,6551481,1976-01-22,4,915119360239968722
Mehamed,3729273,1966-07-05,10,7842244270698324642
Kemal,4097734,1998-05-09,7,3767564503596477852
Ebrahim,4841421,1966-04-10,4,2410938483183882982
Michael,2281906,1968-01-18,7,6682564597779285625
James,2101858,1966-07-30,11,2786268496366293439
Emmanuel,4861974,2002-08-25,4,6026569637739835711
John,1263588,1971-05-04,5,662624390118833359
Joseph,8870273,1964-01-04,6,4713654362807201049
Moses,4225979,1957-12-29,12,6216596950356541332
Prince,4714132,1980-03-26,11,5364091656023980116
Junior,5188624,1963-03-05,5,1489682828551550860
Abraham,9594020,1991-06-07,11,3555654493805192229
Samuel,2156387,1967-01-21,4,1276905498543533098
Peter,4844234,1966-02-20,5,148146383145878600
Mohammed,9169546,1967-09-19,4,8244995963636755922
Ahmed,8721957,1979-08-17,7,4325598127577647713
Ali,6292754,1990-11-26,7,6245336730839405153
Hamza,2217000,1961-10-03,4,6233091341152255698
Ibrahim,5626714,1990-11-30,4,6258096152582272108
Mahmoud,6245929,1958-12-01,2,8439304612588342826
Abdallah,1416199,2002-06-13,7,4651976592074794864
Tareq,9398893,2005-09-28,7,8785792378130552857
Hassan,1584612,1997-12-02,6,8503239391835694362
Khaled,7884376,1973-08-09,8,6030752419365466533
Mamadou,8441613,1995-07-02,1,3062839964669552732
Moussa,2627337,1962-09-08,10,6801455030597146817
Mahamadou,5466155,1964-09-22,2,3524450070538687429
Adama,8502108,2005-10-11,11,3663606834566388795
Bakary,1801193,1960-12-13,11,1352777739317752595
Abdoulaye,5578697,1988-03-30,1,3739428870190532356
Modibo,1790251,2003-01-08,2,6910998448681379552
Oumar,6952762,1983-05-31,7,5912870288513997371
Sekou,2464283,1983-09-02,3,8797388895096881388
Souleymane,1161908,1996-11-13,7,1014132865157986867
Mohamed,2519231,1981-04-02,12,1366218049400458337
Amir,2069818,1997-02-06,11,2256797161314081269
Ibrahim,7408530,1971-10-18,11,4894795682452419230
Naïm,2437123,2000-07-22,5,4008974850249828265
Ayoub,1589187,1978-09-10,6,7492697563795557018
Youssef,6068732,1975-09-02,9,255156206544331022
Younès,3926610,1990-05-21,5,1686159893094233319
Wassim,3254214,2006-12-05,6,5907922679456935281
Ali,3791031,1973-10-24,3,6363852845073406962
Amine,3008466,2005-01-09,7,5733227221482585007
Musa,3657515,1986-05-12,8,6569078862401747001
Ibrahim,4146086,1992-01-10,10,6757528738169502842
Abubakar,6583525,1992-01-02,5,6833942566579499224
Sani,3244078,1968-12-21,11,3162059819196082333
Mohammed,7643816,1982-04-14,11,4707165302869476365
Sunday,3134545,2006-10-22,5,7043521649755099347
Umar,5906682,2001-01-27,7,2473879346422419193
Emmanuel,6412891,1979-05-27,6,7497073788709822129
Usman,3853286,1986-09-26,12,4617038931960938610
Muhammed,1098464,2000-11-02,12,3600322164011198431
Mamadou,3494037,1961-04-11,3,4340122461770990173
Ibrahima,1403891,1956-06-01,12,5454342933717730443
Cheikh,9706661,1976-10-17,3,4917824252487073411
